# BSFC map [g/kWh]
# Comparison profile for EFI/WPC/injection-optimized setup.
# Best economy region is centered around 4400-5000 rpm and load 0.75-0.95.
# This file is not selected by default; set [BSFC] bsfc_map_file to use it.
rpm,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
1000,1350,1200,1050,950,880,840,820,810,820,850,900
1500,1120,980,860,780,720,690,670,660,665,700,760
2000,980,840,720,650,600,570,550,540,545,580,640
2500,860,730,620,560,515,490,470,460,462,495,550
3000,760,640,540,490,450,425,405,395,392,420,475
3500,690,575,485,438,402,378,360,348,342,365,420
4000,640,530,445,400,365,342,323,310,302,318,370
4400,610,500,420,378,345,320,300,288,278,288,335
4700,605,495,412,370,336,312,292,278,268,276,320
5000,615,505,420,378,345,320,300,286,276,286,330
5500,645,535,455,410,375,350,330,318,310,325,370
6000,700,585,500,455,420,395,375,365,360,382,430
6500,780,660,570,520,485,460,440,432,430,460,520
7000,900,780,680,625,585,560,545,540,548,590,670
7500,1080,950,840,780,735,710,695,695,710,770,860
8000,1300,1160,1040,970,920,895,880,890,920,1000,1120
8200,1500,1350,1220,1140,1080,1050,1040,1060,1110,1220,1360
